scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_cbhump,percent_diff_cbblwh,pre_post
13alt,CenCA 50% Effort Reduction Apr-Jul,-75.19221804920606,-68.39536698800153,10.079922119227653,9.358764914875522,-53.35881106411669,-69.08504129811722,2018-2019
14,Statewide <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
14,Statewide <30 fathom Depth Restriction Apr-Jul,37.17282198716159,149.31293834697001,-0.0019849313526931526,-0.0017796967466618173,-100,-100,2014-2018
14,Statewide <30 fathom Depth Restriction Apr-Jul,-70.88411136326452,-86.47601591363163,0,0,NaN,NaN,2018-2019
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,167.93221033789214,123.95709283808272,-12.46265331412901,-12.100039409475567,53.60603492213737,82.84628452606144,2014-2018
14alt,Statewide <30 fathom Depth Restriction Apr-Jul,-95.25735232005361,-94.3709927302602,17.017471953798818,15.479318685915267,-28.74636188080405,-40.56770230439348,2018-2019
15,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15,CenCA <30 fathom Depth Restriction Apr-Jul,15.774328942989598,47.8487886933155,0,0,NaN,NaN,2014-2018
15,CenCA <30 fathom Depth Restriction Apr-Jul,-64.29704833383556,-72.53534663584539,0,0,NaN,NaN,2018-2019
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,149.20494379558792,88.59265619175154,-9.958712787719055,-9.701709549558728,66.44977864070259,122.03976705587164,2014-2018
15alt,CenCA <30 fathom Depth Restriction Apr-Jul,-93.37740658695743,-91.06617479787069,13.20141877161923,12.073115328902812,-39.07454000163124,-60.011732373212084,2018-2019
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",71.17569378337576,52.66936011407094,-12.582990829126613,-12.974808130078015,65.45973107536774,79.55856044161035,2014-2018
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-81.39822423064311,-81.47922696485017,19.574602213975144,18.009012091614913,-59.22754866735807,-51.838308618957,2018-2019
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",87.29896162654568,74.10168717718257,-19.27075738359785,-19.298682096044953,64.84211371810459,70.00327128470184,2014-2018
16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-84.64289177363425,-85.02375443450586,31.137981600709395,28.2454101362852,-57.91487941383424,-50.09637989272014,2018-2019
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",37.60318382286412,1.3145183748023108,-5.968255223025601,-6.2991428974897525,74.25145390216025,107.36193770932165,2014-2018
17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-78.10187421769605,-68.31874620470671,8.972320612317661,8.339278757334831,-50.30634138456274,-73.80182385494574,2018-2019
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",61.141407208603795,26.234760768015192,-11.837690561510069,-11.991015704516533,72.19196776897883,119.66660780034657,2014-2018
17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-82.15729871424826,-76.44383712161087,17.707028064986417,16.24771075548373,-51.8601906182619,-69.42369828093328,2018-2019
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",30.839118099004335,-62.75780984500637,-5.970182255186205,-6.300843858900172,95.55325075127898,-80.9535634459096,2014-2018
18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",-76.99117612036603,-6.358585717074643,8.972320612317661,8.339278757334831,-56.27284688588163,-112.63010247132958,2018-2019
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",80.76765412391629,51.41186395494776,-14.414146920394721,-14.433163793682208,62.63352631333893,91.38737969875032,2014-2018
18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",-85.9365422757119,-82.79871797088572,21.867969035382078,19.93300236305428,-48.893991381726615,-62.921836009891415,2018-2019
2,Delay CenCA,NA,NA,NA,NA,NA,NA,2009-2014
2,Delay CenCA,-37.61985626267286,-27.559285680893968,0.9057135711966426,0.6282564337838843,NaN,NaN,2014-2018
2,Delay CenCA,-141.37783775796362,-145.96762254058348,0.7738824370799982,0.5486574366851016,NaN,NaN,2018-2019
3,Early Closure Statewide,NA,NA,NA,NA,NA,NA,2009-2014
3,Early Closure Statewide,-16.859039758757472,-2.1870172992423256,-2.2629860375318582,-2.5051418740992286,45.75240316279941,9.699801028968007,2014-2018
3,Early Closure Statewide,-65.69979681468982,-73.70110283271164,12.149119425267115,8.303802958026091,-48.45964716226026,-15.101164446153822,2018-2019
4,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4,Early Closure CenCA,43.97569231434167,15.335073318263579,-12.336847834768545,-12.855543826861654,66.67443882351036,80.91936311153475,2014-2018
4,Early Closure CenCA,-82.1209148512071,-76.1909244497439,19.893858158081045,18.299586795755467,-39.282770331675074,-60.94807944149752,2018-2019
4alt,Early Closure CenCA,NA,NA,NA,NA,NA,NA,2009-2014
4alt,Early Closure CenCA,6.2828530478355775,-14.041270553556329,0.013988612448173399,0.011878981441100223,-Inf,Inf,2014-2018
4alt,Early Closure CenCA,-97.56579383974207,-79.35857134586132,-0.013986655909083818,-0.011877570506718288,-100,-100,2018-2019
5,Early Closure BIAs,NA,NA,NA,NA,NA,NA,2009-2014
5,Early Closure BIAs,-28.297156925348958,58.515716256649895,-0.0056656987823635215,-0.005079905686573931,-99.9999999996861,-99.99999999997377,2014-2018
5,Early Closure BIAs,-29.90579887647499,-67.44313436654156,0,0,-100,-100,2018-2019
5alt,Early Closure BIAs,NA,NA,NA,NA,NA,NA,2009-2014
5alt,Early Closure BIAs,69.33976516000013,31.525678269607784,-11.49217538917946,-11.859404345422535,45.84792085238775,82.64655741506633,2014-2018
5alt,Early Closure BIAs,-89.34015984134906,-87.54754061589354,17.80215429088184,16.42688067071981,-12.911220286992982,-17.45608390160718,2018-2019
6,"Delay Statewide, Early Closure Statewide",NA,NA,NA,NA,NA,NA,2009-2014
6,"Delay Statewide, Early Closure Statewide",-19.096718380869007,-0.9540325000142483,-1.6554772061861744,-2.2510405714008033,40.550939130131304,-5.390920044954833,2014-2018
6,"Delay Statewide, Early Closure Statewide",-33.489035820811544,-59.062544488435954,11.51638419078702,7.6113024223933845,-39.03498956293326,112.46263460754665,2018-2019
7,"Delay Statewide, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
7,"Delay Statewide, Early Closure CenCA",-5.481092661312042,-1.476517898901394,-12.10892400472065,-13.004026465503417,85.85216436368435,23.20375882122258,2014-2018
7,"Delay Statewide, Early Closure CenCA",-37.013400965278585,-49.73384345105104,18.396060433389042,17.497959737377233,-43.973415303844746,-19.774032968996135,2018-2019
7alt,"Delay Statewide, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
7alt,"Delay Statewide, Early Closure CenCA",-21.212223630410246,40.16447052815751,-0.38544734243858314,-0.5776279300902958,57.679951587349045,-773.238498577223,2014-2018
7alt,"Delay Statewide, Early Closure CenCA",-40.244728814880595,-57.355983669289,-1.2162373881778155,-0.4145701029992569,179.91011223680002,906.2984300457301,2018-2019
8,"Delay CenCA, Early Closure Statewide",NA,NA,NA,NA,NA,NA,2009-2014
8,"Delay CenCA, Early Closure Statewide",-18.94897009260751,-4.244012105952837,-1.8527009995491053,-2.212552817770618,44.23075154001721,4.0682556547298585,2014-2018
8,"Delay CenCA, Early Closure Statewide",-30.931170709290843,-56.48590194164077,10.714464687209823,7.064207424355677,-39.839327400467745,97.00623312793145,2018-2019
9,"Delay CenCA, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
9,"Delay CenCA, Early Closure CenCA",-5.2311919547077865,-13.100547611584105,-11.530626152770628,-12.305167470082855,81.49601083630886,190.33097781328186,2014-2018
9,"Delay CenCA, Early Closure CenCA",-35.82394581506104,-46.005231791847265,17.46938615149838,16.45341035835757,-42.31767086224109,-21.799268150800568,2018-2019
9alt,"Delay CenCA, Early Closure CenCA",NA,NA,NA,NA,NA,NA,2009-2014
9alt,"Delay CenCA, Early Closure CenCA",-24.79566165635054,-14.592889318561882,0.30929915537714864,0.2152906592846104,-74.92782439778188,-346.6449942066914,2014-2018
9alt,"Delay CenCA, Early Closure CenCA",-31.35531580744145,-30.251556394349855,-2.2201681486307026,-1.4157098465770386,4454.977122701903,1885.116105397156,2018-2019
sq,Status Quo,NA,NA,NA,NA,NaN,NaN,2009-2014
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2014-2018
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2018-2019
