pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,rank_cbhump,rank_cbblwh,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",11,9,9,19,19,21,28,0.2632941960407412,10.017383040556055,0.20468881249651433,4.91483123655658,0.23399150426862778,7.381463817022052,15132146.666035384,90.97159933642219,4616720.132406908,91.82982582804571,0.7468692519828053,1.324150777165716,11
2014-2018,13,CenCA 50% Effort Reduction Apr-Jul,12,11,11,18,18,12,20,0.2581893361398041,11.980481872008585,0.19604185687522055,8.60142606763079,0.22711559650751234,10.148994666343553,15132146.666035384,90.97159933642219,4616720.132406908,91.82982582804571,0.6027097914078827,0.7521565080676018,12
2014-2018,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,13,10,10,16,16,26,27,0.25633164591636237,12.746629621277206,0.1983296073137043,7.61246403673948,0.22733062661503337,10.056366346128545,14705130.79274955,87.65928499122724,4506638.46910894,88.94775278330967,0.7979832900178444,1.1795826685403266,13
2014-2018,13alt,CenCA 50% Effort Reduction Apr-Jul,14,12,12,17,17,14,21,0.25621962171367396,12.788152214067113,0.19408780878184054,9.446687435815415,0.22515371524775724,10.95216847844463,15007060.522404956,89.96844370713576,4583245.4987166,90.92202869782858,0.6307946702896642,0.762942623249219,14
2014-2018,9alt,"Delay CenCA, Early Closure CenCA",15,18,16,30,30,7,8,0.24911732484468435,13.765530090337508,0.18635536426490693,15.963604118658912,0.21773634455479562,13.864681192687822,16257921.958709229,100,4917991.835619682,100,3.8672917549030385e-16,6.098765982294904e-16,15
2014-2018,7alt,"Delay Statewide, Early Closure CenCA",16,17,15,29,29,6,7,0.24872063984461934,13.850251616449071,0.18885061012817111,15.01990220108078,0.21878562498639523,13.514247281839229,16257921.958709229,100,4917991.835619682,100,0,0,16
2014-2018,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,17,15,19,13,13,28,24,0.24463136657206253,17.245900741241847,0.18410594867049712,13.876534457247748,0.21436865762127982,15.329437382239146,14128115.56757897,83.36219038985172,4356397.524048634,85.0145971179561,0.8096408374443833,0.9026831985793626,17
2014-2018,5alt,Early Closure BIAs,18,13,17,15,15,19,26,0.24348304864122705,17.6605403721368,0.18755899507530427,12.454692409352363,0.21552102185826566,14.82208545677038,14269297.86235172,84.3598279372798,4389781.708425592,85.88168263319426,0.729762623059546,0.939111549996699,18
2014-2018,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",19,19,21,12,10,25,19,0.24296308951001735,18.028448599191723,0.17506815829224256,17.97786545750945,0.20901562390112996,17.675842911015497,14116479.185314778,83.1917092798257,4346675.044965466,84.60062629488186,0.7953421983453,0.7197411126540545,19
2014-2018,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",20,14,18,14,14,20,25,0.24276235571381735,18.276684356205983,0.18686944932802674,12.54777592143535,0.21481590252092203,15.187895511777835,14230664.939425116,83.79808620274939,4377568.815461229,85.3959050894834,0.7298185611734511,0.9347556756587208,20
2014-2018,12,Statewide 50% Effort Reduction Apr-Jul,21,23,23,11,9,17,12,0.2364129974097772,20.530460832938676,0.15866893152527697,25.035954289521662,0.19754096446752709,22.29715526509217,14116479.185314778,83.1917092798257,4346675.044965466,84.60062629488186,0.686203537528517,0.5153047470330095,21
2014-2018,4,Early Closure CenCA,22,16,20,8,8,18,23,0.23582324687540202,21.19863655757142,0.18211674283138465,14.508415950804023,0.20896999485339335,17.610769358523356,14006371.37336154,81.94319867284439,4315448.429194135,83.65965165609143,0.7113341880414503,0.9001891556337285,22
2014-2018,18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",23,20,22,5,5,22,22,0.23106207636951748,22.77595547617063,0.17264579068481956,18.811846341943617,0.2018539335271685,20.46096654788844,13653649.714254536,79.50099160137385,4227327.870400923,81.46274942412985,0.7537451794177055,0.8116971754935792,23
2014-2018,16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",25,24,24,4,4,23,18,0.2178410795872903,27.993378007419086,0.14543463743585114,30.773628567634837,0.18163785851157072,28.79738204472254,13051575.989749648,74.87280447475155,4065877.889179941,77.10792485385991,0.759723275474756,0.6244534036258104,24
2014-2018,11alt,"Delay CenCA, Early Closure BIAs",24,25,25,10,12,10,17,0.2120635121420726,27.61032031305905,0.13618781977809163,38.30001286208504,0.1741256659600821,30.918580561799253,14063709.491246479,82.91873486646779,4344744.015447791,84.95715161148749,0.5993382298347891,0.607205460316428,25
2014-2018,10alt,"Delay Statewide, Early Closure BIAs",26,26,26,9,11,13,16,0.21004825125425433,28.170190860572866,0.13604889141922574,38.46588337730166,0.17304857133674004,31.30476007005214,14055345.971811106,82.88014506925094,4342510.3087192755,84.92444153262493,0.6034732210959128,0.6068512535078188,26
2014-2018,9,"Delay CenCA, Early Closure CenCA",27,28,28,7,7,9,13,0.201103627548798,32.199853821630015,0.12269689444107612,44.40868447516213,0.16190026099493704,35.91908853665766,13736105.608541043,80.09067213483857,4255174.455848622,82.44918824820523,0.580580926331093,0.551202076375254,27
2014-2018,7,"Delay Statewide, Early Closure CenCA",28,27,27,6,6,11,14,0.2006356935974062,32.30668183705245,0.12531832396828135,43.413156927213876,0.16297700878284377,35.56023689379476,13736105.608541043,80.09067213483857,4255174.455848622,82.44918824820523,0.6007722511478971,0.5559032391746128,28
2014-2018,3,Early Closure Statewide,29,29,29,3,3,24,15,0.19527337716166454,37.182460278686236,0.11281378884750598,44.92048718482739,0.15404358300458526,40.19535981917995,11975036.411920328,66.3834185596514,3775358.254311248,69.20125258976371,0.7784124426217882,0.5773402831372731,29
2014-2018,8,"Delay CenCA, Early Closure Statewide",30,30,30,2,2,16,11,0.15961311164383177,48.45834046260629,0.051646872981912395,75.44097527249049,0.10562999231287208,58.935751634811815,11674741.117675334,64.32505573964494,3708387.1728162346,67.85629324766794,0.6542168988279796,0.4155248016011468,30
2014-2018,6,"Delay Statewide, Early Closure Statewide",31,31,31,1,1,15,10,0.154647912906651,49.888312604626954,0.044974467521692894,78.27639333197057,0.09981119021417194,60.94019589250044,11635254.422371302,64.12461652980599,3698275.7771926643,67.69745771684704,0.6369465734181403,0.406788405179051,31
2009-2014,5,Early Closure BIAs,1,1,1,28,28,7,6,0.1100796537350031,-3.6145647841452,0.09105309366804588,-8.612421021598564,0.10056637370152449,-5.553571686555769,12950636.777377263,100,4958943.704371004,100,0,0,1
2009-2014,14,Statewide <30 fathom Depth Restriction Apr-Jul,2,3,2,24,24,3,2,0.10900610105828087,-2.485359093651711,0.08883682507952165,-5.770198324557625,0.09892146306890126,-3.792239425635091,12950636.777377263,100,4958943.704371004,100,0,0,2
2009-2014,15,CenCA <30 fathom Depth Restriction Apr-Jul,3,4,3,25,25,4,3,0.10855558654074182,-2.077211531235794,0.08747751229651382,-4.038965749688108,0.09801654941862782,-2.8407904106928017,12950636.777377263,100,4958943.704371004,100,0,0,3
2009-2014,sq,Status Quo,4,6,5,31,31,NA,NA,0.10627925778688845,0,0.08432657168550232,0,0.09530291473619538,0,12950636.777377263,100,4958943.704371004,100,NaN,NaN,4
2018-2019,10,"Delay Statewide, Early Closure BIAs",1,1,1,22,22,2,2,0.10224334222697765,-5.981644383268225,0.04833951546705933,-18.532326513250986,0.07529142884701849,-9.710765823145096,10532035.360000001,100,3056989.15,100,0,0,1
2018-2019,11,"Delay CenCA, Early Closure BIAs",2,2,2,23,23,3,3,0.10224334222697765,-5.981644383268225,0.04833951546705933,-18.532326513250986,0.07529142884701849,-9.710765823145096,10532035.360000001,100,3056989.15,100,0,0,2
2009-2014,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,7,9,8,17,17,29,29,0.10099887228488912,4.935141806176584,0.08020574096835456,5.07105092906702,0.09060230662662183,4.909813857955523,12701906.763082316,97.76416729602369,4899711.446552047,98.63622351886016,0.4403742748936888,0.4703482534084205,5
2009-2014,10,"Delay Statewide, Early Closure BIAs",6,2,4,22,22,9,9,0.1002911077080911,4.000294987180754,0.08910792576618624,-5.923076754406913,0.09469951673713867,-0.26546037099368236,12950636.777377263,100,4958943.704371004,100,5.423396044156262e-16,2.5635592125015085e-16,6
2009-2014,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",8,8,9,20,20,24,30,0.10014899582534363,5.724796859941261,0.08068836092916107,4.718137061378258,0.09041867837725234,5.169441978847569,12703049.746981936,97.77908307774155,4901902.287859608,98.64880549227549,0.3733820497432094,0.5715501318057374,7
2009-2014,11,"Delay CenCA, Early Closure BIAs",5,5,6,23,23,2,1,0.09999674879369484,3.8675192959312614,0.08495436272257911,-1.3190400656174026,0.09247555575813698,2.1281137382993576,12950636.777377263,100,4958943.704371004,100,0,0,8
2009-2014,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",10,11,10,19,19,21,26,0.09969723477307794,6.1340295124814315,0.0793027289908187,6.48184389954563,0.08949998188194831,6.135483725527056,12703049.746981936,97.77908307774155,4901902.287859608,98.64880549227549,0.3487039540088519,0.4022764416266981,9
2009-2014,4alt,Early Closure CenCA,9,7,7,27,27,6,5,0.09956336463669142,6.096529163586291,0.08361439210599787,1.545691034810999,0.09158887837134465,3.7907654656663525,12950636.777377263,100,4958943.704371004,100,0,0,10
2009-2014,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,11,12,11,15,15,30,28,0.09906782880933966,6.695224209556796,0.07840969807305184,7.414643374279429,0.08873876344119574,6.905475145475696,12581914.544808924,96.95191592260295,4870980.67022673,98.1326153575825,0.4625004055927283,0.45376826098928846,11
2018-2019,1,Delay Statewide,3,3,3,21,21,1,1,0.09883530803824869,-2.449002945999257,0.0440054999002986,-7.904976542751863,0.07142040396927365,-4.070109106153463,10532035.360000001,100,3056989.15,100,0,0,3
2018-2019,2,Delay CenCA,4,4,4,26,26,6,6,0.09883530803824869,-2.449002945999257,0.0440054999002986,-7.904976542751863,0.07142040396927365,-4.070109106153463,10532035.360000001,100,3056989.15,100,0,0,4
2009-2014,13,CenCA 50% Effort Reduction Apr-Jul,12,13,12,18,18,15,17,0.09791137968370048,7.796196378211988,0.07716221237567392,9.231226598081255,0.0875367960296872,8.207889627722029,12703049.746981936,97.77908307774155,4901902.287859608,98.64880549227549,0.2720710127866723,0.27263915386301313,12
2018-2019,14,Statewide <30 fathom Depth Restriction Apr-Jul,5,8,6,24,24,4,4,0.0978635435122085,-1.4417079947599554,0.041550488814389254,-1.8850946135058555,0.06970701616329887,-1.5734492442789572,10532035.360000001,100,3056989.15,100,0,0,5
2018-2019,5,Early Closure BIAs,6,7,5,28,28,8,8,0.09783764316966785,-1.4148606633566763,0.04173221713364264,-2.3307068681244436,0.06978493015165524,-1.6869814678243555,10532035.360000001,100,3056989.15,100,0,0,6
2018-2019,15,CenCA <30 fathom Depth Restriction Apr-Jul,7,9,7,25,25,5,5,0.09757751685235416,-1.1452234013521911,0.04145069919590446,-1.6404025530541322,0.06951410802412931,-1.2923535072753012,10532035.360000001,100,3056989.15,100,0,0,7
2009-2014,13alt,CenCA 50% Effort Reduction Apr-Jul,13,14,13,16,16,17,18,0.0975101542575987,8.176322413473518,0.07655184397448009,9.98111475800285,0.0870309991160394,8.747943388309274,12675540.07693801,97.53231453082394,4895564.352691676,98.49867276919497,0.2882666356417251,0.2746883867979182,13
2018-2019,sq,Status Quo,8,10,10,31,31,NA,NA,0.09647268904153675,0,0.04078171490344902,0,0.06862720197249289,0,10532035.360000001,100,3056989.15,100,NaN,NaN,8
2009-2014,5alt,Early Closure BIAs,15,15,15,13,13,26,27,0.09593931342670771,9.531286955879656,0.07614071446214193,10.282303062700553,0.08604001394442483,9.750210663047117,12487059.22752255,95.9059820428698,4852512.291222219,97.48687314154637,0.41902757647336497,0.4187636342986764,14
2018-2019,7alt,"Delay Statewide, Early Closure CenCA",9,5,8,29,29,9,9,0.09579210991967775,0.7054629954037717,0.0428415281371973,-5.050825446219953,0.06931681902843753,-1.0048742133200284,10532035.360000001,100,3056989.15,100,0,0,9
2018-2019,9alt,"Delay CenCA, Early Closure CenCA",10,6,9,30,30,10,10,0.09579210991967775,0.7054629954037717,0.0428415281371973,-5.050825446219953,0.06931681902843753,-1.0048742133200284,10532035.360000001,100,3056989.15,100,0,0,10
2018-2019,4alt,Early Closure CenCA,11,11,11,27,27,7,7,0.09577595786570393,0.722205613583371,0.04031514308650898,1.144071106486455,0.06804555047610646,0.8475523985657651,10532035.360000001,100,3056989.15,100,0,0,11
2009-2014,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",17,17,16,14,14,20,22,0.0955176522190498,10.02033221644915,0.07505647492554524,11.786740398844787,0.08528706357229751,10.550839620438472,12551175.069790537,96.41439817883578,4865948.223782197,97.81678452862505,0.3451557212258773,0.33937256834857693,15
2009-2014,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",18,19,18,10,10,28,25,0.09504588789264888,10.505299655005235,0.07331706336531267,13.933687765219807,0.08418147562898078,11.794248136710124,12396703.93082855,95.50609601197537,4831229.87907722,97.28083057467744,0.43357295782689137,0.35221914245908403,16
2018-2019,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",12,13,12,20,20,28,26,0.0949843895730327,1.5427158538757646,0.04021843863877137,1.381198083531332,0.06760141410590204,1.4947248862076767,10460870.8705,99.32430449511897,3043696.5775,99.56517436445597,0.4379908997392387,0.4892097034724173,12
2018-2019,15alt,CenCA <30 fathom Depth Restriction Apr-Jul,13,12,13,17,17,30,28,0.09494348283663046,1.5851182548129117,0.04024829156209326,1.307996347428364,0.06759588719936185,1.5027784078161965,10458160.949275173,99.2985742242625,3043255.939069596,99.55076023313973,0.44250690672936116,0.536259735829209,13
2018-2019,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",14,15,14,19,19,24,23,0.09469273626734112,1.8450328190077303,0.04011679133719578,1.6304453302845467,0.06740476380226845,1.7812735112155864,10460870.8705,99.32430449511897,3043696.5775,99.56517436445597,0.3662241115279603,0.41442389531890106,14
2009-2014,1,Delay Statewide,16,16,14,21,21,10,10,0.09460714054873397,9.635061676304026,0.07578655242432779,10.468520164476294,0.08519684648653088,9.665125606819393,12950636.777377263,100,4958943.704371004,100,5.044547494430631e-15,5.270454600164132e-16,17
2018-2019,14alt,Statewide <30 fathom Depth Restriction Apr-Jul,15,14,15,15,15,29,27,0.09458957661173216,1.951964279749474,0.04011957360626323,1.6236229858244355,0.0673545751089977,1.8544058724779156,10441328.893841349,99.13875653605237,3039961.0495321807,99.4429780534936,0.44121886495697926,0.5304454737750047,15
2009-2014,2,Delay CenCA,14,22,19,26,26,5,4,0.094290636128778485,9.52176516008439,0.07163058103125743,15.09265146919078,0.08296060858001796,12.083407509880153,12950636.777377263,100,4958943.704371004,100,0,0,18
2018-2019,13,CenCA 50% Effort Reduction Apr-Jul,16,18,17,18,18,13,11,0.09366488476492421,2.910465443130361,0.03961990694047208,2.8488452869810166,0.06664239585269814,2.892156554175551,10460870.8705,99.32430449511897,3043696.5775,99.56517436445597,0.2321606348138899,0.23718223940377026,16
2018-2019,5alt,Early Closure BIAs,17,16,16,13,13,27,25,0.09362470463002354,2.952114675985651,0.039759404508958554,2.506786183246079,0.06669205456949104,2.8197964471544323,10406432.676342713,98.80742250321035,3033586.548001223,99.23445583708477,0.403973973806243,0.47573961623059713,17
2009-2014,18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",19,20,20,12,12,23,24,0.09358660874350033,11.780414619829365,0.07326043203024252,14.130332844057191,0.08342352038687142,12.546500907958643,12431182.851517145,95.60214680541506,4837217.4474568805,97.31317636734738,0.3714244717312954,0.3495451782288726,19
2018-2019,13alt,CenCA 50% Effort Reduction Apr-Jul,18,19,19,16,16,14,12,0.09349197551350273,3.0896967397173514,0.039558012930560764,3.000614309097538,0.06652499422203174,3.063228122434236,10452963.705,99.24922721679886,3042219.625,99.51686040495107,0.24299238612972227,0.2502063597193684,18
2018-2019,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",19,17,18,12,12,26,24,0.09341574736729873,3.168711999850904,0.03965830704694254,2.7546851797825567,0.06653702720712062,3.045694280542066,10400503.817655927,98.75112893331499,3032313.815453994,99.19282230537175,0.39412577310395364,0.45336253879421284,19
2018-2019,17alt,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",20,22,20,14,14,20,16,0.09320281000805779,3.389434943677272,0.03945369351037886,3.256413802642333,0.06632825175921833,3.3499110370200147,10416026.499637587,98.8985143289301,3035353.019534798,99.29224052152092,0.32497619496271235,0.33825113693355646,20
2018-2019,18alt,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",21,23,21,10,10,21,18,0.09284890378315949,3.7562809686138454,0.039324975554548836,3.5720404410384043,0.06608693966885416,3.701538501681756,10399194.444203762,98.73869664071998,3032058.1299973824,99.1844583418748,0.335785147548606,0.35310444551220016,21
2009-2014,12,Statewide 50% Effort Reduction Apr-Jul,20,23,22,9,9,22,16,0.09281174392515744,12.573366298011361,0.0701666680450465,17.957081095432272,0.08148920598510197,14.628384055606336,12396703.93082855,95.50609601197537,4831229.87907722,97.28083057467744,0.3587395988962231,0.27175549829965506,20
2018-2019,4,Early Closure CenCA,22,24,22,9,9,22,17,0.09266359134011735,3.948368952149106,0.039201050908105266,3.875913504584072,0.0659323211241113,3.92684062722205,10389706.381000001,98.64860899023795,3030404.005,99.13034872891191,0.34226563579538044,0.3486638719269028,22
2009-2014,4,Early Closure CenCA,21,21,21,11,11,19,23,0.09234130696685916,12.938797798293841,0.07262776088450898,15.04367791339966,0.08248453392568407,13.511733156236767,12455462.716586608,95.5581661554831,4844860.871348213,97.29761098455094,0.32856503522703645,0.34149532667859467,21
2018-2019,12,Statewide 50% Effort Reduction Apr-Jul,23,25,23,11,11,17,13,0.0921456790830072,4.485217527902153,0.039076097220859696,4.1823098578060875,0.06561088815193344,4.3952160861351235,10400503.817655927,98.75112893331499,3032313.815453994,99.19282230537175,0.2784415825800851,0.298607972423194,23
2018-2019,16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",24,26,24,8,8,23,19,0.09177876391706055,4.865548137105624,0.038942849442879526,4.509043979447702,0.06536080667997005,4.759621838920491,10355150.584576601,98.32050720134119,3023799.765220084,98.91431133211854,0.34518059452555244,0.3724720376013119,24
2018-2019,3,Early Closure Statewide,25,27,25,7,7,25,22,0.0902036589090279,6.498243383482016,0.03831046920411287,6.059690489198011,0.06425706405657039,6.367938354348379,10268972.275311854,97.50225786662999,3007638.480907988,98.38564461074348,0.3843718965219215,0.4121897212114182,25
2009-2014,16alt,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",22,24,24,6,6,25,20,0.09007675176817827,15.095591306609489,0.06810349986207777,20.526108614638332,0.07909012581512802,17.14310542226552,12212342.814544382,93.98205397327686,4787248.362005083,96.34713825346869,0.40188015256388265,0.3207266756686747,22
2018-2019,10alt,"Delay Statewide, Early Closure BIAs",26,20,26,5,5,18,29,0.08563915361621467,11.22963973841099,0.03951508541020234,3.1058759942916403,0.0625771195132085,8.815866428168494,10190202.19559097,96.75434849272067,2987398.004411569,97.7235396603082,0.2890254347321206,1.0450035716959047,26
2018-2019,11alt,"Delay CenCA, Early Closure BIAs",27,21,27,6,6,19,30,0.08563915361621467,11.22963973841099,0.03951508541020234,3.1058759942916403,0.0625771195132085,8.815866428168494,10190202.19559097,96.75434849272067,2987398.004411569,97.7235396603082,0.2890254347321206,1.0450035716959047,27
2009-2014,7alt,"Delay Statewide, Early Closure CenCA",24,10,17,29,29,1,8,0.08553275499942133,18.793408951462176,0.08071705289191561,6.0639821337467765,0.08312490394566847,11.595091632106616,12950636.777377263,100,4958943.704371004,100,-3.241662068298253e-16,1.679384852884803e-16,23
2009-2014,9alt,"Delay CenCA, Early Closure CenCA",23,18,23,30,30,8,7,0.08535944416763572,18.531458831391674,0.07475185430289248,12.301164057472622,0.0800556492352641,14.978586688204905,12950636.777377263,100,4958943.704371004,100,0,0,24
2009-2014,3,Early Closure Statewide,25,25,25,3,3,27,21,0.08342784860332299,21.303040510649797,0.06105090728873245,29.473869853549402,0.07223937794602772,24.39625747819623,11842771.084279839,91.01219202395075,4703516.053783435,94.56166114935488,0.4235712259640402,0.33398609517467825,25
2018-2019,7,"Delay Statewide, Early Closure CenCA",28,28,28,3,3,11,14,0.07851845510091371,18.610690879459945,0.035547485273942095,12.834746262875408,0.0570329701874279,16.894513329732106,10113874.35890619,96.02962782785596,2971325.487147002,97.19777667994019,0.21333824723970984,0.3093455913209884,28
2018-2019,9,"Delay CenCA, Early Closure CenCA",29,29,29,4,4,12,15,0.07851845510091371,18.610690879459945,0.035547485273942095,12.834746262875408,0.0570329701874279,16.894513329732106,10113874.35890619,96.02962782785596,2971325.487147002,97.19777667994019,0.21333824723970984,0.3093455913209884,29
2009-2014,10alt,"Delay Statewide, Early Closure BIAs",27,26,26,7,7,13,19,0.07837800947087425,25.08762807467929,0.058783659899773515,31.142284612103662,0.06858083468532389,27.06691797077918,12299299.577672994,94.2101439059219,4802771.126015032,96.36199097411908,0.2398979286406868,0.30356241542591755,26
2009-2014,11alt,"Delay CenCA, Early Closure BIAs",26,27,27,8,8,14,12,0.07815532503547287,24.884804849878833,0.05525735644738165,35.013737798973196,0.06670634074142727,29.100088362019285,12302879.47445011,94.25107688088433,4803572.676748936,96.38443665458522,0.24837987237882958,0.1794149536323972,27
2018-2019,6,"Delay Statewide, Early Closure Statewide",30,30,30,1,1,15,20,0.07730315676219064,19.87042391976094,0.03529871455903738,13.444751789846698,0.05630093566061401,17.961196082013497,9962492.250763174,94.59227879731665,2941995.6832935456,96.23834233410824,0.2721492618637805,0.40221800202865693,30
2018-2019,8,"Delay CenCA, Early Closure Statewide",31,31,31,2,2,16,21,0.07730315676219064,19.87042391976094,0.03529871455903738,13.444751789846698,0.05630093566061401,17.961196082013497,9962492.250763174,94.59227879731665,2941995.6832935456,96.23834233410824,0.2721492618637805,0.40221800202865693,31
2009-2014,7,"Delay Statewide, Early Closure CenCA",29,28,28,4,4,12,15,0.07160396552998911,31.80257539888682,0.04974079476811545,42.7804122868891,0.060672380149052275,35.334032949152714,12201915.085516267,93.30516876568825,4776110.236895932,95.77749048569781,0.22471972037455848,0.2212005892408424,28
2009-2014,9,"Delay CenCA, Early Closure CenCA",28,29,29,5,5,11,11,0.07130178046885062,31.674413522282094,0.04540390065544981,47.56584865350472,0.05835284056215021,37.848836167517234,12201915.085516267,93.30516876568825,4776110.236895932,95.77749048569781,0.21839160140532957,0.15498207588510465,29
2009-2014,8,"Delay CenCA, Early Closure Statewide",30,30,30,2,2,16,13,0.06166713520493495,40.702330257922036,0.03197035588536452,64.1254084753355,0.04681874554514973,50.06369636337521,11561051.49420168,88.50886159084536,4627126.459947567,92.8726383728514,0.2856711143077278,0.1915635878759692,30
2009-2014,6,"Delay Statewide, Early Closure Statewide",31,31,31,1,1,18,14,0.060673522303705846,42.229757079434265,0.03152892008256108,64.45787152921856,0.04610122119313346,50.81691478376156,11502210.26638705,87.82768325361631,4612805.779840894,92.51632229956338,0.29194314418320955,0.20381682825309191,31
