pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2014-2018,13,CenCA 50% Effort Reduction Apr-Jul,11,8,9,9,9,0.07033243655025205,11.691299426278007,0.06143087766344822,7.935690916598001,0.06588165710685014,9.370281324936899,2891512.961412049,91.07627051009024,863175.3688154813,91.86255447706586,0.5546754431344068,0.7741174761709213,11
2014-2018,3,Early Closure Statewide,12,15,14,8,8,0.06785536166691887,17.74372833650641,0.037353031498895295,31.55965000746755,0.05260419658290708,23.323861725181285,2968302.8089867784,87.12148858285789,913089.8673927133,90.96818793908393,0.7313206041603107,0.43233044406839044,12
2014-2018,4,Early Closure CenCA,13,10,11,3,3,0.0651486122443198,18.903575861261782,0.057767225344421,12.016182290940314,0.061457918794370396,14.726860245215192,2674773.949625832,82.15254102018048,803775.9330191696,83.72510895413171,0.7329758285489167,1.0099515944735273,13
2014-2018,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",14,11,13,5,5,0.06508973810684139,18.956124328638737,0.05135749589261501,20.20713804958604,0.0582236169997282,19.059396527304983,2667239.5399691747,82.67055821857171,803696.102578164,84.11307047715647,0.7978036096331915,0.6729317574401922,14
2014-2018,12,Statewide 50% Effort Reduction Apr-Jul,15,14,15,4,4,0.06251608704910688,22.30898696591054,0.045323443689232606,27.935601714843518,0.053919765369169745,24.50722356788021,2667239.5399691747,82.67055821857171,803696.102578164,84.11307047715647,0.6601265187437704,0.492039913871713,15
2014-2018,9,"Delay CenCA, Early Closure CenCA",16,16,16,2,2,0.05635632018749419,29.620952115046297,0.044793011531055665,36.90164487367978,0.050574665859274934,30.78823159192326,2610537.5036962866,79.99099869898231,789282.475723715,82.22657401333704,0.5503856822420703,0.7126340233976958,16
2014-2018,7,"Delay Statewide, Early Closure CenCA",17,17,17,1,1,0.055860135333897026,30.18032179982904,0.041786851941529736,41.527990967145,0.04882349363771338,33.072021862781185,2595867.2879396323,79.3649170455408,784836.9525460382,81.49558500708945,0.5666511397753595,0.6946441935539732,17
2014-2018,8,"Delay CenCA, Early Closure Statewide",18,18,18,7,7,0.055628088266378876,32.60765165089602,0.018595159020175243,66.92062943805355,0.03711162364327706,46.00951137442693,2873819.4619867783,83.93552216002325,891769.2707260466,88.76040651500207,0.5218924674992823,0.25738841277005453,18
2014-2018,6,"Delay Statewide, Early Closure Statewide",19,19,19,6,6,0.05451542641186551,33.86167007561381,0.015298968317772301,72.17773960815484,0.03490719736481891,48.90539396124567,2854143.7881421437,83.33193791765845,887064.5857334866,88.30914932049714,0.5150069137082723,0.23866371488930271,19
2009-2014,5,Early Closure BIAs,1,1,1,19,19,0.03981124904467859,-4.5598783646643115,0.03082549751009589,-6.54225745794784,0.03531837327738724,-5.343003194234743,3409755.3882412394,100.00566601980198,1272964.60335464,100.0050801637541,9.733299777852937e-4,0.0013069978149246673,1
2009-2014,14,Statewide <30 fathom Depth Restriction Apr-Jul,2,2,2,18,18,0.038868450857776446,-2.4609977930345295,0.03020857908580428,-4.242902235377155,0.03453851497179036,-3.203935540162677,3409618.0890587172,100.001984970753,1272922.3574523255,100.00177972842043,0.001470405631798361,9.501640333616605e-4,2
2009-2014,15,CenCA <30 fathom Depth Restriction Apr-Jul,3,3,3,16,16,0.03876116633872216,-2.1448528887687557,0.02982928791777324,-2.844394726708397,0.0342952271282477,-2.4337174423985264,3409544.0517780157,100,1272899.5767505711,100,0,0,3
2009-2014,sq,Status Quo,4,4,4,17,17,0.03793297169437423,0,0.02899603729306499,0,0.03346450449371961,0,3409544.0517780157,100,1272899.5767505711,100,NaN,NaN,4
2009-2014,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",5,5,5,11,11,0.035282307729273855,6.347052411357583,0.027615884371056058,5.259982984384801,0.03144909605016495,5.696349656643422,3313581.2321825703,96.85892485430617,1251911.5651189645,98.03989519257968,0.46029950403206,-14.402739877358782,5
2009-2014,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",6,6,6,10,10,0.035176565419666114,6.660461252159677,0.027229277888421957,6.68542813345636,0.031202921654044036,6.476079996483264,3313507.1949018682,96.85693988355317,1251888.7844172101,98.03811546415925,0.432756645007778,0.6145067588188057,6
2009-2014,10,"Delay Statewide, Early Closure BIAs",9,10,8,13,13,0.03459781589514656,9.121601236517884,0.02531299863086057,16.206870992120134,0.029955407263003563,10.859387445767213,3356894.914801996,98.25474147355101,1260310.8601145414,98.76716920529327,-0.11697671429999748,0.051911597668404856,7
2009-2014,11,"Delay CenCA, Early Closure BIAs",8,12,11,15,15,0.03450862280630886,8.627875377330838,0.023812873936434446,20.29478234327992,0.029160748371371656,13.023384301674678,3358803.6942412397,98.34703540294521,1261012.36335464,98.83848929943646,0.8451998656568551,0.1094114359542281,8
2009-2014,13,CenCA 50% Effort Reduction Apr-Jul,7,7,7,9,9,0.034499762890932054,8.404378072274037,0.02661150798743212,8.803820159596874,0.030555635439182088,8.363019110903254,3313507.1949018682,96.85693988355317,1251888.7844172101,98.03811546415925,0.33963035615404724,0.37692629812790635,9
2009-2014,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",10,9,9,8,8,0.03355516377227317,11.074074776427,0.02495377245461516,14.716748679833204,0.029254468113444163,12.48410061656396,3234823.4364830726,94.5703347697199,1233358.5072190955,96.65370299083246,0.4821738827012767,0.3747700782325102,10
2009-2014,12,Statewide 50% Effort Reduction Apr-Jul,12,11,12,7,7,0.0327680093727617,13.135896884073743,0.02405586284514486,17.849370470499558,0.02841193610895328,14.985476077741955,3234786.4178427216,94.56934228434342,1233347.1168682182,96.65281312662225,0.406465243520869,0.30739850464544183,11
2009-2014,4,Early Closure CenCA,11,8,10,6,6,0.032532608160517715,13.129699574557117,0.025473059359897618,13.027627405636066,0.02900283376020767,12.768761332970133,3217470.338025721,93.71387976710633,1230877.9920838492,96.07623092831851,0.4397649895945091,0.5582330034242402,12
2018-2019,10,"Delay Statewide, Early Closure BIAs",1,1,1,13,12,0.03233394929092732,-13.23930460296916,0.015895213227271266,-35.22180014782607,0.024114581259099294,-19.649913892628533,1761991.935,100,511476.64999999997,99.99999999999999,0,0,1
2018-2019,11,"Delay CenCA, Early Closure BIAs",2,2,2,14,13,0.03233394929092732,-13.23930460296916,0.015895213227271266,-35.22180014782607,0.024114581259099294,-19.649913892628533,1761991.935,100,511476.64999999997,99.99999999999999,0,0,2
2009-2014,1,Delay Statewide,14,13,13,12,12,0.03219773517874801,15.100926909327443,0.022860614151579667,24.654886304002254,0.027529174665163837,17.83527203689236,3356653.657778016,98.24696896477589,1260235.736750571,98.76062459760969,0.18001658658608566,-0.10222291408602105,13
2009-2014,2,Delay CenCA,13,15,14,14,14,0.032140628169367434,14.528380015901956,0.02140104011217011,28.613902255608075,0.026770834140768772,19.900075599911627,3358592.3577780155,98.34136938314325,1260947.3367505712,98.83340913568236,0.1501193473575455,0.059306908915116245,14
2018-2019,1,Delay Statewide,3,3,3,12,14,0.02962440713456873,-3.7500007502978328,0.013355236755144655,-13.614025153979892,0.021489821944856692,-6.626580724879716,1761991.935,100,511476.65,100,0,0,3
2018-2019,2,Delay CenCA,4,4,4,17,17,0.02962440713456873,-3.7500007502978328,0.013355236755144655,-13.614025153979892,0.021489821944856692,-6.626580724879716,1761991.935,100,511476.65,100,0,0,4
2009-2014,3,Early Closure Statewide,15,14,15,3,3,0.029514184855521042,21.341740924113765,0.021312300191972392,27.7929304474281,0.025413242523746715,23.845363960054982,3060028.7839074275,89.13868456868684,1193794.6569858652,93.30562625324448,0.5017554347583936,0.39410321624396255,15
2018-2019,5,Early Closure BIAs,5,5,5,18,18,0.029208030145863397,-2.2917736642888764,0.012212004019095533,-3.88845643425626,0.020710017082479465,-2.757403664163327,1761991.935,100,511476.65,100,0,0,5
2018-2019,14,Statewide <30 fathom Depth Restriction Apr-Jul,6,6,6,15,15,0.028834299011100108,-0.9829000272244315,0.011909707577004427,-1.31679737606194,0.02037200329405227,-1.0802722951674504,1761991.935,100,511476.65,100,0,0,6
2018-2019,15,CenCA <30 fathom Depth Restriction Apr-Jul,7,7,7,16,16,0.028806793785792734,-0.8865717822973851,0.011900115556062662,-1.2351973169588915,0.0203534546709277,-0.9882391333291496,1761991.935,100,511476.65,100,0,0,7
2018-2019,sq,Status Quo,8,8,8,19,19,0.02855364522441576,0,0.01175491911059787,0,0.020154282167506817,0,1761991.935,100,511476.65,100,NaN,NaN,8
2018-2019,18,"CenCA 50% Effort Reduction, Statewide <30 fathom Depth Restriction Apr-Jul",9,9,9,11,11,0.02800805614141064,1.9107510747475187,0.011499757824870433,2.170676661631732,0.019753906983140536,1.9865514486632208,1748740.443,99.24792550199726,509038.0775,99.52322896851695,0.39360150463456817,0.3464700714280474,9
2018-2019,17,"CenCA 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",10,10,10,10,10,0.02798058364307384,2.0069647039387517,0.01149009730449105,2.252859450713407,0.019735340473782444,2.0786733570685056,1748740.443,99.24792550199726,509038.0775,99.52322896851695,0.3747322992411198,0.3338310775510581,10
2018-2019,13,CenCA 50% Effort Reduction Apr-Jul,11,11,11,9,9,0.027724441207359837,2.9040215725132157,0.011369576695481803,3.2781375311094596,0.019547008951420822,3.013122526710743,1748740.443,99.24792550199726,509038.0775,99.52322896851695,0.25897689780309613,0.22942127682733554,11
2018-2019,4,Early Closure CenCA,12,13,12,6,6,0.027588592999449144,3.379786424401654,0.01130662034114664,3.8137120743524155,0.019447606670297893,3.506329281963916,1735488.9510000001,98.49585100399453,506599.505,99.04645793703388,0.4450426172333533,0.394405494353131,12
2018-2019,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",13,12,13,8,8,0.02754679351300602,3.526175742173887,0.011338899633677057,3.5391096527898958,0.019442846573341537,3.529947572691383,1741781.7313565891,98.85299113792986,507696.85550941306,99.26100351001615,0.32528408846775364,0.32409531622337423,13
2018-2019,12,Statewide 50% Effort Reduction Apr-Jul,14,14,14,7,7,0.027262885086283307,4.520474104051497,0.011209332801384081,4.641344649678658,0.019236108943833694,4.555722779119476,1741781.7313565891,98.85299113792986,507696.85550941306,99.26100351001615,0.2537364080997887,0.24712856912049191,14
2018-2019,3,Early Closure Statewide,15,15,15,5,5,0.02681583186516511,6.086134872071158,0.01102023802107636,6.249988473839396,0.018918034943120735,6.133918410545958,1721571.5277131784,97.70598227585975,503917.06101882615,98.52200702003232,0.37692521975931415,0.36704351275883573,15
2009-2014,7,"Delay Statewide, Early Closure CenCA",17,16,16,4,4,0.025525065064924773,31.930459893790793,0.01853718147359538,39.9970879369122,0.02203112326926008,33.56765428656364,3117892.9043987268,90.29917559526011,1204823.526533792,93.67742171972354,0.30489348440759056,0.5638173706712564,16
2009-2014,9,"Delay CenCA, Early Closure CenCA",16,17,17,5,5,0.025505360428205174,31.256014216080207,0.01718863356561092,43.60016413757456,0.021346996996908046,35.4297187677416,3120411.6256677047,90.41659867188878,1205685.33542704,93.76444613801549,0.3032494652119174,0.24545573082318695,17
2018-2019,7,"Delay Statewide, Early Closure CenCA",16,16,16,3,3,0.02312572339457393,19.009558279446935,0.010481931386221255,10.829404374454011,0.016803827390397593,16.624034283448218,1655654.5790383406,93.96493514814757,489767.7890634821,95.75564965937,0.3174752807579709,0.5572850217033932,16
2018-2019,9,"Delay CenCA, Early Closure CenCA",17,17,17,4,4,0.02312572339457393,19.009558279446935,0.010481931386221255,10.829404374454011,0.016803827390397593,16.624034283448218,1655654.5790383406,93.96493514814757,489767.7890634821,95.75564965937,0.3174752807579709,0.5572850217033932,17
2009-2014,8,"Delay CenCA, Early Closure Statewide",18,18,18,2,2,0.022177026631299186,40.23101456965193,0.012250328767001068,60.936533636811234,0.017213677699150127,48.04870419731442,2953754.706202306,85.5199511497893,1166168.0929299023,90.76871221476394,0.3618454885153128,0.24732653694513648,18
2018-2019,6,"Delay Statewide, Early Closure Statewide",18,18,18,1,1,0.02212287226791066,22.521723254466476,0.010115666003857776,13.945252122255736,0.01611926913588422,20.020623895640078,1637397.3277131782,92.92876404188412,486059.4610188261,95.03062574192313,0.3139740186938635,0.5070712165060561,18
2018-2019,8,"Delay CenCA, Early Closure Statewide",19,19,19,2,2,0.02212287226791066,22.521723254466476,0.010115666003857776,13.945252122255736,0.01611926913588422,20.020623895640078,1637397.3277131782,92.92876404188412,486059.4610188261,95.03062574192313,0.3139740186938635,0.5070712165060561,19
2009-2014,6,"Delay Statewide, Early Closure Statewide",19,19,19,1,1,0.02187030135228083,41.85450750319951,0.011664610846222022,62.24600688223762,0.016767456099251427,49.37646145084373,2935850.7424076535,84.73470158818066,1161943.0638176026,90.34280245714803,0.36642011565034444,0.2522630121788597,19
