pre_post,scenario_number,pretty_scenario_names,rank_hump,rank_blwh,rank_both,rank_dollars,rank_pounds,mean_n_risk_humpback,mean_relative_hump_risk_n,mean_n_risk_blue,mean_relative_blwh_risk_n,mean_n_risk_both,mean_relative_both_risk_n,mean_DCRB_rev,mean_relative_dollars,mean_DCRB_lbs,mean_relative_pounds,mean_cbhump,mean_cbblwh,scenario_rank
2009-2014,12,Statewide 50% Effort Reduction Apr-Jul,4,4,4,3,3,0.0327680093727617,13.135896884073743,0.02405586284514486,17.849370470499558,0.02841193610895328,14.985476077741955,3234786.4178427216,94.56934228434342,1233347.1168682182,96.65281312662225,0.406465243520869,0.30739850464544183,4
2009-2014,1,Delay Statewide,5,5,5,5,5,0.03219773517874801,15.100926909327443,0.022860614151579667,24.654886304002254,0.027529174665163837,17.83527203689236,3356653.657778016,98.24696896477589,1260235.736750571,98.76062459760969,0.18001658658608566,-0.10222291408602105,5
2018-2019,1,Delay Statewide,1,1,1,5,5,0.02962440713456873,-3.7500007502978328,0.013355236755144655,-13.614025153979892,0.021489821944856692,-6.626580724879716,1761991.935,100,511476.65,100,0,0,1
2009-2014,3,Early Closure Statewide,6,6,6,2,2,0.029514184855521042,21.341740924113765,0.021312300191972392,27.7929304474281,0.025413242523746715,23.845363960054982,3060028.7839074275,89.13868456868684,1193794.6569858652,93.30562625324448,0.5017554347583936,0.39410321624396255,6
2018-2019,14,Statewide <30 fathom Depth Restriction Apr-Jul,2,2,2,6,6,0.028834299011100108,-0.9829000272244315,0.011909707577004427,-1.31679737606194,0.02037200329405227,-1.0802722951674504,1761991.935,100,511476.65,100,0,0,2
2018-2019,sq,Status Quo,3,3,3,7,7,0.02855364522441576,0,0.01175491911059787,0,0.020154282167506817,0,1761991.935,100,511476.65,100,NaN,NaN,3
2018-2019,16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",4,4,4,4,4,0.02754679351300602,3.526175742173887,0.011338899633677057,3.5391096527898958,0.019442846573341537,3.529947572691383,1741781.7313565891,98.85299113792986,507696.85550941306,99.26100351001615,0.32528408846775364,0.32409531622337423,4
2018-2019,12,Statewide 50% Effort Reduction Apr-Jul,5,5,5,3,3,0.027262885086283307,4.520474104051497,0.011209332801384081,4.641344649678658,0.019236108943833694,4.555722779119476,1741781.7313565891,98.85299113792986,507696.85550941306,99.26100351001615,0.2537364080997887,0.24712856912049191,5
2018-2019,3,Early Closure Statewide,6,6,6,2,2,0.02681583186516511,6.086134872071158,0.01102023802107636,6.249988473839396,0.018918034943120735,6.133918410545958,1721571.5277131784,97.70598227585975,503917.06101882615,98.52200702003232,0.37692521975931415,0.36704351275883573,6
2018-2019,6,"Delay Statewide, Early Closure Statewide",7,7,7,1,1,0.02212287226791066,22.521723254466476,0.010115666003857776,13.945252122255736,0.01611926913588422,20.020623895640078,1637397.3277131782,92.92876404188412,486059.4610188261,95.03062574192313,0.3139740186938635,0.5070712165060561,7
2009-2014,6,"Delay Statewide, Early Closure Statewide",7,7,7,1,1,0.02187030135228083,41.85450750319951,0.011664610846222022,62.24600688223762,0.016767456099251427,49.37646145084373,2935850.7424076535,84.73470158818066,1161943.0638176026,90.34280245714803,0.36642011565034444,0.2522630121788597,7
